Genre,Artist ,Title,Link,SongLength,Elem-0:20,Instr-0:20,Elem-0:40,Instr-0:40,Elem-1:00,Instr-1:00,Elem-1:20,Instr-1:20,Elem-1:40,Instr-1:40,Elem-2:00,Instr-2:00,Elem-2:20,Instr-2:20,Elem-2:40,Instr-2:40,Elem-3:00,Instr-3:00,Elem-3:20,Instr-3:20,Elem-3:40,Instr-3:40,Elem-4:00,Instr-4:00,Elem-4:20,Instr-4:20,Elem-4:40,Instr-4:40,Elem-5:00,Instr-5:00,Elem-5:20,Instr-5:20,Elem-5:40,Instr-5:40,Elem-6:00,Instr-6:00,Elem-6:20,Instr-6:20,Elem-6:40,Instr-6:40,Elem-7:00,Instr-7:00,Elem-7:20,Instr-7:20,Elem-7:40,Instr-7:40,Elem-8:00,Instr-8:00,Elem-8:20,Instr-8:20,Elem-8:40,Instr-8:40,Elem-9:00,Instr-9:00,Elem-9:20,Instr-9:20
Rumba,Yoruba Andubo,La Gozadera,https://www.youtube.com/watch?v=S6cHQIlluzE,6:47,"intro, singer","tumbador, conga, clave, chekere, ","intro, coristas, singer","chekere, clave","canto, coristas, singer","tumbador, quinto, conga, clave, chekere,","canto, montuno, coristas, singer, improvisation, call_response, tumbao","tumbador, quinto, conga, clave, chekere,","canto, singer, coristas, tumbao, call_response","tumbador, quinto, conga, clave, chekere,","canto, singer, coristas, tumbao, call_response","tumbador, quinto, conga, clave, chekere","canto, singer, coristas, tumbao, call_response","tumbador, quinto, conga, clave, chekere,","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response","clave, chekere, palitos, cow_bell","montuno, singer, coristas, tumbao, call_response","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, tumbao, call_response, ostinato, improvisation","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, tumbao, call_response, ostinato, improvisation","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response, improvisation","clave, chekere, palitos, cow_bell","montuno, singer, coristas, call_response, improvisation, tumbao, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response, improvisation, tumbao, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response, improvisation, tumbao, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response, improvisation, tumbao, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response, improvisation, tumbao, ostinato","tumbador, quinto, conga, clave, chekere, palitos","montuno, singer, coristas, call_response, improvisation, tumbao, ostinato","tumbador, quinto, conga, clave, chekere, palitos",,,,,,,,,,,,,,,,
Rumba,Ignacio Piñeiro,Donde Estabas Anoche,https://www.youtube.com/watch?v=PKwZdROigk8,3:47,"intro, singer","tumbador, clave, palitos ","intro, singer, coristas","tumbador, clave, palitos, quinto","intro, singer, coristas","tumbador, clave, palitos, quinto","intro, canto, singer, coristas, improvisation","tumbador, clave, palitos, quinto","canto, singer, improvisation, tumbao","tumbador, clave, palitos, quinto","canto, singer, coristas, tumbao","tumbador, clave, palitos, quinto","canto, singer, coristas, tumbao, ostinato","tumbador, clave, palitos, quinto","canto, coristas, tumbao, ostinato","tumbador, clave, palitos, quinto","montuno, canto, singer, coristas, tumbao, ostinato, call_response","tumbador, clave, palitos, quinto","canto, tumbao, improvisation","tumbador, clave, palitos, quinto","montuno, singer, coristas, tumbao, ostinato, call_response","tumbador, clave, palitos, quinto","montuno, singer, coristas, tumbao, ostinato, call_response","tumbador, clave, palitos, quinto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumba,Los Munequitos de Matanzas,Vale Todo,https://www.youtube.com/watch?v=4ZmBvYN4-Q0,7:21,"intro, singer","clave, agongo"," intro, singer, coristas, improvisation","clave, agongo"," intro, singer, coristas, improvisation","clave, agongo","canto, singer","clave, agongo, cajon","canto, singer","clave, agongo","canto, singer, coristas","clave, agongo, cajon, chekere","canto, singer, coristas","clave, agongo, cajon, chekere","canto, singer, coristas, improvisation","clave, agongo, cajon, chekere, quinto, tumbador","montuno, singer, coristas, improvisation, call_response, tumbao","clave, agongo, cajon, chekere, quinto, tumbador","montuno, singer, coristas, improvisation, call_response, tumbao","clave, agongo, cajon, chekere, quinto, tumbador","montuno, singer, coristas, improvisation, call_response, tumbao, ostinato","clave, agongo, cajon, chekere, quinto, tumbador","montuno, singer, coristas, improvisation, call_response, tumbao, ostinato, improvisation","clave, agongo, cajon, chekere, quinto, tumbador","montuno, singer, coristas, improvisation, call_response, tumbao, ostinato, improvisation","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, improvisation, call_response, tumbao, improvisation","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao, ostinato","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao, ostinato","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao, ostinato","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao, improvisation","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao, improvisation","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao","clave, agongo, cajon, chekere, quinto, tumbador, cowbell","montuno, singer, coristas, call_response, tumbao, improvisation","clave, agongo, cajon, chekere, quinto, tumbador",coristas,"clave, agongo, tumbador",,,,,,,,,,,,
Rumba,Los Munequitos de Matanzas,La Chismosa del Barrio,https://www.youtube.com/watch?v=PriXofmVFu4,5:06,"intro, singer","tumbador, quinto, conga, chekere, clave, agongo","canto, singer, tumbao","tumbador, quinto, conga, chekere, clave, agongo","canto, singer, tumbao","tumbador, quinto, conga, chekere, clave, agongo","canto, singer, tumbao","tumbador, quinto, conga, chekere, clave, agongo","canto, singer, tumbao","tumbador, quinto, conga, chekere, clave, agongo","canto, singer, tumbao, montuno, coristas","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, improvisation, call_response, ostinato","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, call_response, ostinato","tumbador, quinto, conga, chekere, clave, agongo","canto, montuno, singer, tumbao, improvisation, coristas, ostinato, call_response","tumbador, quinto, conga, chekere, clave, agongo","canto, montuno, singer, tumbao, improvisation, coristas, ostinato, call_response","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, ostinato, call_response","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, ostinato, call_response","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, ostinato, call_response","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, ostinato, call_response","tumbador, quinto, conga, chekere, clave, agongo","montuno, singer, tumbao, coristas, ostinato, call_response, improvisation","tumbador, quinto, conga, chekere, clave, agongo", ,,,,,,,,,,,,,,,,,,,,,,,,,
Rumba,Los Munequitos de Matanzas,Que Te Pasa Hermano,https://www.youtube.com/watch?v=9CIsr57Hulg,7:25,"intro, singer","tumbador, quinto, chekere, clave, agongo","intro, singer, tumbao","tumbador, quinto, chekere, clave, agongo","intro, singer, tumbao","tumbador, quinto, chekere, clave, agongo","intro, singer, tumbao","tumbador, quinto, chekere, clave, agongo","intro, singer, tumbao","tumbador, quinto, chekere, clave, agongo","intro, singer, coristas. tumbao","tumbador, quinto, chekere, clave, agongo","canto, singer, coristas, improvisation, tumbao","tumbador, quinto, chekere, clave, agongo","canto, singer, coristas, improvisation, tumbao","tumbador, quinto, chekere, clave, agongo","canto, singer, coristas, improvisation, tumbao","tumbador, quinto, chekere, clave, agongo","montuno, canto, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato, improvisation","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato, improvisation","tumbador, quinto, chekere, clave, agongo, cajon","montuno, singer, coristas, tumbao, call_response, ostinato","tumbador, quinto, chekere, clave, agongo, cajon", ,,,,,,,,,,,
Rumba,Los Muñequitos de Matanzas,Congo Yambumba,https://www.youtube.com/watch?v=5mPowSsMa0I,5:31,"intro, singer","clave, conga, tumbador, agongo, chekere, cajon","intro, singer","clave, conga, tumbador, agongo, chekere, cajon","intro, singer, coristas","clave, conga, tumbador, agongo, chekere, cajon","intro, coristas, improvisation","clave, conga, tumbador, agongo, chekere, cajon","intro, coristas, improvisation","clave, conga, tumbador, agongo, chekere, cajon","intro, coristas, improvisation","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao, improvisation","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon","clave, conga, tumbador, agongo, chekere, cajon","clave, conga, tumbador, agongo, chekere, cajon","montuno, coristas, ostinato, call_response, tumbao","clave, conga, tumbador, agongo, chekere, cajon", ,, ,,,,,,,,,,,,,,,,,,,,,
Rumba,Los Papines,Toca Con Clave,https://www.youtube.com/watch?v=wHX6vSaqZow&ab_channel=LosPapines-Topic,4:40,"intro, canto, tumbao, singer, coristas","cowbell, tumbador, quinto","intro, tumbao, canto, singer, coristas","tumbador, quinto, cowbell, clave","intro, canto, singer, coristas, tumbao","tumbador, quinto, clave","intro, canto, singer, coristas, ostinato, tumbao","tumbador, quinto, clave, conga","intro, canto, singer, coristas, ostinato, tumbao","tumbador, quinto, clave, conga","canto, tumbao, singer, coristas, ostinato","tumbador, quinto, clave, conga","canto, tumbao, singer, imrpovisation, polyrhythmic","tumbador, quinto, clave, conga","canto, tumbao, singer, imrpovisation, polyrhythmic, coristas","tumbador, quinto, clave, conga","canto, tumbao, singer, improvisation, polyrhythmic, coristas","tumbador, quinto, clave, conga","improvisation, tumbao, singer, polyrhythmic, coristas","tumbador, quinto, clave, conga","canto, call and response, tumbao, singer, polyrhythmic, coristas","tumbador, quinto, clave, conga","montuno, call and response, tumbao, singer, polyrhythmic, coristas","tumbador, quinto, clave, conga","montuno, call and response, tumbao, singer, polyrhythmic, coristas","tumbador, quinto, clave, conga","montuno, call and response, tumbao, singer, polyrhythmic, coristas","tumbador, quinto, clave, conga", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumba,Pancho Quinto,El SInsonte,https://www.youtube.com/watch?v=elsbjruwMeA,4:50,"intro, coristas","clave, tumbador, conga, palitos","intro, singer, tumbao","clave, tumbador, conga, cajon, chekere, palitos","intro, singer, tumbao","clave, tumbador, conga, cajon, chekere, palitos","intro, singer, tumbao","clave, tumbador, conga, cajon, chekere, palitos","intro, canto, singer, tumbao, coristas","clave, tumbador, conga, cajon, chekere, palitos","canto, singer, tumbao, coristas","clave, tumbador, conga, cajon, chekere, palitos","montuno, call and response, singer, tumbao, coristas, ostinato","clave, tumbador, conga, cajon, chekere, palitos","montuno, call and response, singer, tumbao, coristas, ostinato","clave, tumbador, conga, cajon, chekere, palitos","montuno, call and response, singer, tumbao, coristas, ostinato","clave, tumbador, conga, cajon, chekere, palitos","montuno, call and response, canto, improvisation, singer, tumbao, coristas","clave, tumbador, conga, cajon, chekere, palitos","montuno, call and response, canto, improvisation, singer, tumbao, coristas, ostinato","clave, tumbador, conga, cajon, chekere, palitos","montuno, call and response, improvisation, singer, tumbao, coristas, ostinato","clave, tumbador, conga, cajon, chekere, palitos","call and response, montuno, ostinato, singer, tumbao, coristas, improvisation","clave, tumbador, conga, cajon, chekere, palitos","call and response, montuno, ostinato, singer, tumbao, coristas","clave, tumbador, conga, cajon, chekere, palitos","call and response, montuno, ostinato, singer, tumbao, coristas","clave, tumbador, conga, cajon, chekere, palitos", ,, ,, ,, ,,,,,,,,,,,,,,,,,,,
Rumba,Jerry González,Evidence,https://www.youtube.com/watch?v=szJtY0l7EGE&ab_channel=JerryGonz%C3%A1lez-Topic,9:07,"intro, polyrhythmic, ostinato","tumbador, quinto, palitos, guitar","intro, call_response, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, piano, trumpet","intro, call_response, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet","intro, improvisation, polyrhythmic, call_response, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar","intro, improvisation, polyrhythmic, call_response, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato, call_response","tumbador, quinto, palitos, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano, drum_kit","intro, improvisation, polyrhythmic, ostinato","tumbador, quinto, palitos, trumpet, piano","intro, improvisation, polyrhythmic, ostinato, call_response","tumbador, quinto, palitos, trumpet, piano, guitar","intro, improvisation, polyrhythmic, ostinato, call_response","tumbador, quinto, palitos, trumpet, piano, guitar","intro, improvisation, polyrhythmic, ostinato, call_response","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic, ostinato, call_response","tumbador, quinto, palitos, trumpet, piano, guitar, drum_kit","intro, improvisation, polyrhythmic","tumbador, quinto, trumpet","intro, polyrhythmic","tumbador, quinto, trumpet, drum_kit, piano","intro, polyrhythmic","tumbador, quinto, trumpet, drum_kit","canto, polyrhythmic, improvisation, call_response","tumbador, quinto, trumpet, drum_kit, trumpet, piano, palitos","canto, polyrhythmic, improvisation, call_response","tumbador, quinto, trumpet, drum_kit, trumpet, piano, palitos","canto, polyrhythmic, improvisation, call_response","tumbador, quinto, trumpet, trumpet, piano, palitos","canto, montuno, polyrhythmic, improvisation, call_response, ostinato","tumbador, quinto, trumpet, trumpet, piano, palitos","canto, polyrhythmic, improvisation, ostinato, montuno","tumbador, quinto, trumpet, trumpet, piano, palitos",,
Rumba,Cubismo,Ave Maria Morena,https://www.youtube.com/watch?v=EwXU9KQ7vX4&ab_channel=aquariusrecordshr,4:45,"intro, ostinato, coristas, polyrhythmic","tumbador, quinto, maraca, clave","intro, ostinato, coristas, polyrhythmic","tumbador, quinto, maraca, clave","canto, singer, polyrhythmic","tumbador, quinto, maraca, clave","canto, singer, polyrhythmic","tumbador, quinto, maraca, clave","montuno, ostinato, coristas, call_response, polyrhythmic","tumbador, quinto, maraca, clave","montuno, ostinato, coristas, call_response, polyrhythmic","tumbador, quinto, maraca, clave","montuno, singer, call_response","tumbador, quinto, maraca, clave","montuno, singer, call_response","tumbador, quinto, maraca, clave","montuno, ostinato, coristas, call_response","tumbador, quinto, maraca, clave","montuno, ostinato, singer, coristas, call_response, improvisation","tumbador, quinto, maraca, clave, cowbell, trumpet, piano","montuno, ostinato, singer, coristas, call_response","tumbador, quinto, maraca, clave, cowbell, piano","montuno, ostinato, coristas, call_response","tumbador, quinto, maraca, clave, cowbell, trumpet, piano","montuno, ostinato, coristas, call_response","tumbador, quinto, maraca, clave, cowbell, trumpet, piano","montuno, ostinato, improvisation","tumbador, quinto, maraca, clave, cowbell, trumpet, piano, drum_kit",,,,,,,,,,,,,,,,,,,,,,,,,,,,
