Genre,Artist ,Title,Link,SongLength,Elem-0:20,Instr-0:20,Elem-0:40,Instr-0:40,Elem-1:00,Instr-1:00,Elem-1:20,Instr-1:20,Elem-1:40,Instr-1:40,Elem-2:00,Instr-2:00,Elem-2:20,Instr-2:20,Elem-2:40,Instr-2:40,Elem-3:00,Instr-3:00,Elem-3:20,Instr-3:20,Elem-3:40,Instr-3:40,Elem-4:00,Instr-4:00,Elem-4:20,Instr-4:20,Elem-4:40,Instr-4:40,Elem-5:00,Instr-5:00,Elem-5:20,Instr-5:20
Son,Buena Vista Social Club,Dos Gardenias,https://www.youtube.com/watch?v=fugRvM6s5fc,3:06,"intro, singer","trumpet, conga, maraca, piano, timbales","intro, singer","trumpet, conga, maraca, piano, timbales","montuno, singer","trumpet, conga, maraca, piano, timbales","montuno, singer","trumpet, conga, maraca, piano, timbales, guitar, tres","montuno, singer","trumpet, conga, maraca, piano, timbales","montuno, singer","trumpet, conga, maraca, piano, timbales","montuno, singer","trumpet, conga, maraca, piano, timbales","montuno, singer","trumpet, conga, maraca, piano, timbales, tres","montuno, singer","trumpet, conga, maraca, piano, timbales",,,,,,,,,,,,,,
Son,Sierra Maestra,Tíbiri Tábara,https://www.youtube.com/watch?v=5Oj0B8A_1tU,3:37,"intro, singer","trumpet, clave, maraca, conga, timbales, piano","intro, montuno, singer, coristas, call_response","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro","montuno, singer, coristas, call_response, ostinato","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro","montuno, singer, coristas, call_response, ostinato","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro","montuno, singer, coristas, call_response, ostinato","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro, cow_bell","montuno, singer, coristas, call_response, ostinato, improvisation","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro, cow_bell","montuno, singer, coristas, call_response, ostinato, improvisation","clave, maraca, conga, timbales, piano, bongos, guiro",montuno,"trumpet, clave, maraca, conga, timbales, piano, bongos, guiro",montuno,"trumpet, clave, maraca, conga, timbales, piano, bongos, guiro, cow_bell","montuno, singer, coristas, call_response, ostinato, improvisation","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro, cow_bell","montuno, singer, coristas, call_response, ostinato, improvisation","trumpet, clave, maraca, conga, timbales, piano, bongos, guiro, cow_bell",,,,,,,,,,
Son,Sierra Maestra,Son para Ti,https://www.youtube.com/watch?v=RSexFz6gSvA,5:15,intro,"tres, trumpet","intro, singer","tres, trumpet","intro, singer",tres,"intro, singer","tres, clave","intro, singer, coristas","tres, clave, trumpet, timbales, maraca, gurio","montuno, singer, coristas, ostinato","tres, clave, trumpet, timbales, maraca, conga, guiro","montuno, singer, coristas, ostinato","tres, clave, trumpet, timbales, maraca, conga, guiro","montuno, singer, coristas, ostinato","tres, clave, timbales, maraca, conga, guiro",montuno,"tres, clave, timbales, maraca, conga, guiro","montuno, improvisation","tres, clave, timbales, maraca, conga, guiro, trumpet","montuno, improvisation","tres, clave, timbales, maraca, conga, guiro, trumpet","montuno,coristas, ostinato, singer","tres, clave, timbales, maraca, conga, guiro","montuno,coristas, ostinato, singer","tres, clave, timbales, maraca, conga, guiro","montuno, coristas, ostinato, singer","tres, clave, timbales, maraca, conga, guiro","montuno, coristas, ostinato, improvisation","tres, clave, timbales, maraca, conga, guiro, trumpet","montuno, improvisation","tres, clave, trumpet"
Son,Arsenio Rodriguez,Dundunbanza,https://www.youtube.com/watch?v=ddKqtbqAAEw,2:39,"intro, montuno, coristas, ostinato","piano, congas, trumpet, maraca","montuno, ostinato, coristas","piano, congas, trumpet, maraca, bongos","montuno, ostinato, coristas","piano, congas, trumpet, maraca, bongos","montuno, ostinato, coristas, singer","piano, congas, trumpet, maraca, bongos","montuno, ostinato, coristas, singer","piano, congas, trumpet, maraca, bongos","montuno, ostinato","piano, congas, trumpet, maraca, bongos","montuno, ostinato, improvisation","piano, congas, trumpet, maraca, bongos","montuno, ostinato, improvisation","piano, congas, trumpet, maraca, bongos",,,,,,,,,,,,,,,,
Son,Beny More,Maracaibo Oriental,https://www.youtube.com/watch?v=LznSTIWUIUg,3:07,"intro, singer","piano, trumpet, guiro, timbales","intro, singer, coristas","piano, trumpet, guiro, timbales, bongos","montuno, singer, coristas, call_response, ostinato","piano, trumpet, guiro, timbales, bongos, congas","montuno, singer, coristas, call_response, ostinato","piano, trumpet, guiro, timbales, bongos","montuno, singer, coristas, call_response, ostinato","piano, trumpet, guiro, timbales, bongos","montuno, singer, coristas, call_response, ostinato","piano, trumpet, guiro, timbales, bongos","montuno, call_response, ostinato, coristas","piano, trumpet, guiro, timbales, bongos","montuno, singer, coristas, call_response, ostinato","piano, trumpet, guiro, timbales, bongos","montuno, singer, coristas, call_response, ostinato","piano, trumpet, guiro, timbales, bongos",,,,,,,,,,,,,,
Son,Sexteto Habanero,Coralia,https://www.youtube.com/watch?v=hV0Z8jz_P5k,3:08,intro,"piano, trumpet, congas, maraca, bongos","intro, coristas","piano, trumpet, congas, maraca, bongos, double_bass","intro, coristas","piano, trumpet, congas, maraca, bongos, double_bass",intro,"piano, trumpet, congas, maraca, bongos, double_bass","intro, coristas","piano, trumpet, congas, maraca, bongos, double_bass","intro, coristas","piano, trumpet, congas, maraca, bongos, double_bass","intro, montuno, coristas, ostinato, improvisation","piano, trumpet, congas, maraca, bongos, double_bass","montuno, coristas, call_response, ostinato","piano, trumpet, congas, maraca, bongos, double_bass","montuno, coristas, call_response, ostinato","piano, trumpet, congas, maraca, bongos, double_bass",,,,,,,,,,,,,,
Son,Conjunto Chappottín,Alto Songo,https://www.youtube.com/watch?v=RRbd06JXd_4,3:03,intro,"piano, tres, conga, trumpet","montuno, coristas, call_response, ostinato","piano, tres, conga, trumpet, timbales, maraca","montuno, coristas, call_response, ostinato, singer","piano, tres, conga, timbales, maraca, trumpet","montuno, coristas, call_response, ostinato, singer","piano, tres, conga, trumpet, timbales, maraca","montuno, coristas, call_response, ostinato, singer","piano, tres, conga, timbales, maraca",montuno,"piano, tres, conga, timbales, maraca",montuno,"piano, tres, conga, timbales, maraca","montuno, coristas, call_response, ostinato, improvisation","piano, tres, conga, timbales, maraca, trumpet","montuno, coristas, call_response, ostinato, improvisation","piano, tres, conga, timbales, maraca, trumpet",,,,,,,,,,,,,,
Son,Septeto Nacional,Suavecito,https://www.youtube.com/watch?v=BGWHVJo2FmY,3:13,"intro, coristas","piano, chekere, congas","intro, coristas","piano, chekere, congas, trumpet","intro, montuno, coristas, ostinato","piano, chekere, congas, trumpet, bongos","montuno, singer, coristas, ostinato","piano, chekere, congas, bongos","montuno, singer, coristas, ostinato","piano, chekere, congas, bongos, trumpet","montuno, singer, coristas, improvisation, ostinato","piano, chekere, congas, bongos, trumpet","montuno, singer, coristas, ostinato","piano, chekere, congas, bongos","montuno, singer, coristas, ostinato","piano, chekere, congas, bongos, trumpet","montuno, singer, coristas, ostinato","piano, chekere, congas, bongos","montuno, singer, coristas, ostinato","piano, chekere, congas, bongos", ,,,,,,,,,,,
Son,Septeto Nacional,Bururú Barará,https://www.youtube.com/watch?v=e-Y4v9AT6qo,3:15,"intro, singer","piano, tres, bongos, clave, congas","intro, singer, coristas","piano, tres, bongos, clave, congas","montuno, singer, coristas, call_response, improvisation","piano, tres, bongos, clave, congas","montuno, singer, coristas, improvisation, ostinato","piano, tres, bongos, clave, congas","montuno, singer, coristas, improvisation, call_response, ostinato","piano, tres, bongos, clave, congas","montuno, singer, coristas, improvisation, call_response, ostinato","piano, tres, bongos, clave, congas","montuno, singer, coristas, call_response, ostinato","piano, tres, bongos, clave, congas","montuno, singer, coristas, call_response, ostinato","piano, tres, bongos, clave, congas","montuno, singer, coristas, improvisation, call_response, ostinato","piano, tres, bongos, clave, congas","montuno, singer, coristas, improvisation, call_response, ostinato, polyrhythmic","piano, tres, bongos, clave, congas", ,,,,,,,,,,,
Son,Miguel Matamoros,Son de la loma,https://www.youtube.com/watch?v=LfdwBDo2jqA,3:36,intro,"tres, maraca, clave, bongos","intro, coristas","tres, maraca, clave, bongos",intro,"tres, maraca, clave, bongos","intro, coristas","tres, maraca, clave, bongos","intro, coristas","tres, maraca, clave, bongos","montuno, call_response, coristas, ostinato","tres, maraca, clave, bongos","montuno, call_response, coristas, ostinato","tres, maraca, clave, bongos","montuno, call_response, coristas, ostinato","tres, maraca, clave, bongos","montuno, call_response, coristas, improvisation, ostinato","tres, maraca, clave, bongos","montuno, call_response, coristas, ostinato","tres, maraca, clave, bongos","montuno, call_response, coristas, ostinato","tres, maraca, clave, bongos", ,,,,,,,,,
